home_team,away_team,home_goals,away_goals,result,season
Sheffield United,Liverpool,1,1,D,2006-2007
Arsenal,Aston Villa,1,1,D,2006-2007
Everton,Watford,2,1,H,2006-2007
Newcastle,Wigan,2,1,H,2006-2007
Portsmouth,Blackburn,3,0,H,2006-2007
Reading,Middlesbrough,3,2,H,2006-2007
West Ham,Charlton,3,1,H,2006-2007
Bolton,Tottenham,2,0,H,2006-2007
Man United,Fulham,5,1,H,2006-2007
Chelsea,Man City,3,0,H,2006-2007
Watford,West Ham,1,1,D,2006-2007
Tottenham,Sheffield United,2,0,H,2006-2007
Aston Villa,Reading,2,1,H,2006-2007
Man City,Portsmouth,0,0,D,2006-2007
Blackburn,Everton,1,1,D,2006-2007
Charlton,Man United,0,3,A,2006-2007
Fulham,Bolton,1,1,D,2006-2007
Middlesbrough,Chelsea,2,1,H,2006-2007
Liverpool,West Ham,2,1,H,2006-2007
Charlton,Bolton,2,0,H,2006-2007
Fulham,Sheffield United,1,0,H,2006-2007
Tottenham,Everton,0,2,A,2006-2007
Watford,Man United,1,2,A,2006-2007
Wigan,Reading,1,0,H,2006-2007
Man City,Arsenal,1,0,H,2006-2007
Aston Villa,Newcastle,2,0,H,2006-2007
Blackburn,Chelsea,0,2,A,2006-2007
Middlesbrough,Portsmouth,0,4,A,2006-2007
Everton,Liverpool,3,0,H,2006-2007
Arsenal,Middlesbrough,1,1,D,2006-2007
Bolton,Watford,1,0,H,2006-2007
Chelsea,Charlton,2,1,H,2006-2007
Newcastle,Fulham,1,2,A,2006-2007
Portsmouth,Wigan,1,0,H,2006-2007
Sheffield United,Blackburn,0,0,D,2006-2007
Man United,Tottenham,1,0,H,2006-2007
West Ham,Aston Villa,1,1,D,2006-2007
Reading,Man City,1,0,H,2006-2007
Charlton,Portsmouth,0,1,A,2006-2007
Bolton,Middlesbrough,0,0,D,2006-2007
Everton,Wigan,2,2,D,2006-2007
Sheffield United,Reading,1,2,A,2006-2007
Watford,Aston Villa,0,0,D,2006-2007
Chelsea,Liverpool,1,0,H,2006-2007
Blackburn,Man City,4,2,H,2006-2007
Tottenham,Fulham,0,0,D,2006-2007
West Ham,Newcastle,0,2,A,2006-2007
Man United,Arsenal,0,1,A,2006-2007
Liverpool,Newcastle,2,0,H,2006-2007
Liverpool,Tottenham,3,0,H,2006-2007
Arsenal,Sheffield United,3,0,H,2006-2007
Aston Villa,Charlton,2,0,H,2006-2007
Fulham,Chelsea,0,2,A,2006-2007
Man City,West Ham,2,0,H,2006-2007
Middlesbrough,Blackburn,0,1,A,2006-2007
Wigan,Watford,1,1,D,2006-2007
Reading,Man United,1,1,D,2006-2007
Newcastle,Everton,1,1,D,2006-2007
Portsmouth,Bolton,0,1,A,2006-2007
Bolton,Liverpool,2,0,H,2006-2007
Charlton,Arsenal,1,2,A,2006-2007
Chelsea,Aston Villa,1,1,D,2006-2007
Everton,Man City,1,1,D,2006-2007
Sheffield United,Middlesbrough,2,1,H,2006-2007
West Ham,Reading,0,1,A,2006-2007
Blackburn,Wigan,2,1,H,2006-2007
Man United,Newcastle,2,0,H,2006-2007
Tottenham,Portsmouth,2,1,H,2006-2007
Watford,Fulham,3,3,D,2006-2007
Wigan,Man United,1,3,A,2006-2007
Arsenal,Watford,3,0,H,2006-2007
Aston Villa,Tottenham,1,1,D,2006-2007
Liverpool,Blackburn,1,1,D,2006-2007
Man City,Sheffield United,0,0,D,2006-2007
Middlesbrough,Everton,2,1,H,2006-2007
Portsmouth,West Ham,2,0,H,2006-2007
Reading,Chelsea,0,1,A,2006-2007
Newcastle,Bolton,1,2,A,2006-2007
Fulham,Charlton,2,1,H,2006-2007
Wigan,Man City,4,0,H,2006-2007
Charlton,Watford,0,0,D,2006-2007
Chelsea,Portsmouth,2,1,H,2006-2007
Everton,Sheffield United,2,0,H,2006-2007
Aston Villa,Fulham,1,1,D,2006-2007
Man United,Liverpool,2,0,H,2006-2007
Blackburn,Bolton,0,1,A,2006-2007
Middlesbrough,Newcastle,1,0,H,2006-2007
Tottenham,West Ham,1,0,H,2006-2007
Reading,Arsenal,0,4,A,2006-2007
Sheffield United,Chelsea,0,2,A,2006-2007
Arsenal,Everton,1,1,D,2006-2007
Bolton,Man United,0,4,A,2006-2007
Fulham,Wigan,0,1,A,2006-2007
Liverpool,Aston Villa,3,1,H,2006-2007
Portsmouth,Reading,3,1,H,2006-2007
Watford,Tottenham,0,0,D,2006-2007
Newcastle,Charlton,0,0,D,2006-2007
West Ham,Blackburn,2,1,H,2006-2007
Man City,Middlesbrough,1,0,H,2006-2007
Fulham,Everton,1,0,H,2006-2007
Bolton,Wigan,0,1,A,2006-2007
Charlton,Man City,1,0,H,2006-2007
Liverpool,Reading,2,0,H,2006-2007
Man United,Portsmouth,3,0,H,2006-2007
Watford,Middlesbrough,2,0,H,2006-2007
Newcastle,Sheffield United,0,1,A,2006-2007
West Ham,Arsenal,1,0,H,2006-2007
Aston Villa,Blackburn,2,0,H,2006-2007
Tottenham,Chelsea,2,1,H,2006-2007
Man City,Newcastle,0,0,D,2006-2007
Chelsea,Watford,4,0,H,2006-2007
Everton,Aston Villa,0,1,A,2006-2007
Middlesbrough,West Ham,1,0,H,2006-2007
Portsmouth,Fulham,1,1,D,2006-2007
Sheffield United,Bolton,2,2,D,2006-2007
Wigan,Charlton,3,2,H,2006-2007
Blackburn,Man United,0,1,A,2006-2007
Reading,Tottenham,3,1,H,2006-2007
Arsenal,Liverpool,3,0,H,2006-2007
Man City,Fulham,3,1,H,2006-2007
Arsenal,Newcastle,1,1,D,2006-2007
Chelsea,West Ham,1,0,H,2006-2007
Everton,Bolton,1,0,H,2006-2007
Portsmouth,Watford,2,1,H,2006-2007
Reading,Charlton,2,0,H,2006-2007
Sheffield United,Man United,1,2,A,2006-2007
Middlesbrough,Liverpool,0,0,D,2006-2007
Wigan,Aston Villa,0,0,D,2006-2007
Blackburn,Tottenham,1,1,D,2006-2007
Charlton,Everton,1,1,D,2006-2007
Aston Villa,Middlesbrough,1,1,D,2006-2007
Fulham,Reading,0,1,A,2006-2007
Liverpool,Man City,1,0,H,2006-2007
West Ham,Sheffield United,1,0,H,2006-2007
Bolton,Arsenal,3,1,H,2006-2007
Newcastle,Portsmouth,1,0,H,2006-2007
Tottenham,Wigan,3,1,H,2006-2007
Man United,Chelsea,1,1,D,2006-2007
Watford,Sheffield United,0,1,A,2006-2007
Aston Villa,Man City,1,3,A,2006-2007
Fulham,Arsenal,2,1,H,2006-2007
Bolton,Chelsea,0,1,A,2006-2007
Liverpool,Portsmouth,0,0,D,2006-2007
Man United,Everton,3,0,H,2006-2007
Arsenal,Tottenham,3,0,H,2006-2007
Blackburn,Fulham,2,0,H,2006-2007
Portsmouth,Aston Villa,2,2,D,2006-2007
Reading,Bolton,1,0,H,2006-2007
Sheffield United,Charlton,2,1,H,2006-2007
Wigan,Liverpool,0,4,A,2006-2007
Middlesbrough,Man United,1,2,A,2006-2007
Everton,West Ham,2,0,H,2006-2007
Man City,Watford,0,0,D,2006-2007
Charlton,Blackburn,1,0,H,2006-2007
Tottenham,Middlesbrough,2,1,H,2006-2007
Newcastle,Reading,3,2,H,2006-2007
West Ham,Wigan,0,2,A,2006-2007
Man United,Man City,3,1,H,2006-2007
Blackburn,Newcastle,1,3,A,2006-2007
Liverpool,Fulham,4,0,H,2006-2007
Middlesbrough,Wigan,1,1,D,2006-2007
Portsmouth,Everton,2,0,H,2006-2007
Tottenham,Charlton,5,1,H,2006-2007
Watford,Reading,0,0,D,2006-2007
Bolton,West Ham,4,0,H,2006-2007
Chelsea,Arsenal,1,1,D,2006-2007
Sheffield United,Aston Villa,2,2,D,2006-2007
Chelsea,Newcastle,1,0,H,2006-2007
Wigan,Arsenal,0,1,A,2006-2007
Charlton,Liverpool,0,3,A,2006-2007
Arsenal,Portsmouth,2,2,D,2006-2007
Newcastle,Watford,2,1,H,2006-2007
Reading,Blackburn,1,2,A,2006-2007
Wigan,Sheffield United,0,1,A,2006-2007
Aston Villa,Bolton,0,1,A,2006-2007
Everton,Chelsea,2,3,A,2006-2007
Man City,Tottenham,1,2,A,2006-2007
West Ham,Man United,1,0,H,2006-2007
Fulham,Middlesbrough,2,1,H,2006-2007
Fulham,West Ham,0,0,D,2006-2007
Arsenal,Blackburn,6,2,H,2006-2007
Aston Villa,Man United,0,3,A,2006-2007
Liverpool,Watford,2,0,H,2006-2007
Man City,Bolton,0,2,A,2006-2007
Middlesbrough,Charlton,2,0,H,2006-2007
Newcastle,Tottenham,3,1,H,2006-2007
Portsmouth,Sheffield United,3,1,H,2006-2007
Reading,Everton,0,2,A,2006-2007
Wigan,Chelsea,2,3,A,2006-2007
Chelsea,Reading,2,2,D,2006-2007
Tottenham,Aston Villa,2,1,H,2006-2007
West Ham,Portsmouth,1,2,A,2006-2007
Blackburn,Liverpool,1,0,H,2006-2007
Bolton,Newcastle,2,1,H,2006-2007
Everton,Middlesbrough,0,0,D,2006-2007
Man United,Wigan,3,1,H,2006-2007
Sheffield United,Man City,0,1,A,2006-2007
Watford,Arsenal,1,2,A,2006-2007
Charlton,Fulham,2,2,D,2006-2007
Charlton,Aston Villa,2,1,H,2006-2007
Blackburn,Middlesbrough,2,1,H,2006-2007
Bolton,Portsmouth,3,2,H,2006-2007
Chelsea,Fulham,2,2,D,2006-2007
Everton,Newcastle,3,0,H,2006-2007
Man United,Reading,3,2,H,2006-2007
Tottenham,Liverpool,0,1,A,2006-2007
West Ham,Man City,0,1,A,2006-2007
Sheffield United,Arsenal,1,0,H,2006-2007
Liverpool,Bolton,3,0,H,2006-2007
Fulham,Watford,0,0,D,2006-2007
Man City,Everton,2,1,H,2006-2007
Middlesbrough,Sheffield United,3,1,H,2006-2007
Portsmouth,Tottenham,1,1,D,2006-2007
Reading,West Ham,6,0,H,2006-2007
Wigan,Blackburn,0,3,A,2006-2007
Newcastle,Man United,2,2,D,2006-2007
Arsenal,Charlton,4,0,H,2006-2007
Aston Villa,Chelsea,0,0,D,2006-2007
Watford,Liverpool,0,3,A,2006-2007
Bolton,Man City,0,0,D,2006-2007
Charlton,Middlesbrough,1,3,A,2006-2007
Chelsea,Wigan,4,0,H,2006-2007
Man United,Aston Villa,3,1,H,2006-2007
Sheffield United,Portsmouth,1,1,D,2006-2007
West Ham,Fulham,3,3,D,2006-2007
Blackburn,Arsenal,0,2,A,2006-2007
Everton,Reading,1,1,D,2006-2007
Tottenham,Newcastle,2,3,A,2006-2007
Liverpool,Chelsea,2,0,H,2006-2007
Aston Villa,Watford,2,0,H,2006-2007
Fulham,Tottenham,1,1,D,2006-2007
Middlesbrough,Bolton,5,1,H,2006-2007
Newcastle,West Ham,2,2,D,2006-2007
Portsmouth,Charlton,0,1,A,2006-2007
Reading,Sheffield United,3,1,H,2006-2007
Man City,Blackburn,0,3,A,2006-2007
Wigan,Everton,0,2,A,2006-2007
Arsenal,Man United,2,1,H,2006-2007
Watford,Blackburn,2,1,H,2006-2007
Portsmouth,Middlesbrough,0,0,D,2006-2007
Sheffield United,Fulham,2,0,H,2006-2007
West Ham,Liverpool,1,2,A,2006-2007
Reading,Wigan,3,2,H,2006-2007
Chelsea,Blackburn,3,0,H,2006-2007
Bolton,Charlton,1,1,D,2006-2007
Man United,Watford,4,0,H,2006-2007
Newcastle,Aston Villa,3,1,H,2006-2007
Liverpool,Everton,0,0,D,2006-2007
Aston Villa,West Ham,1,0,H,2006-2007
Blackburn,Sheffield United,2,1,H,2006-2007
Charlton,Chelsea,0,1,A,2006-2007
Fulham,Newcastle,2,1,H,2006-2007
Man City,Reading,0,2,A,2006-2007
Watford,Bolton,0,1,A,2006-2007
Wigan,Portsmouth,1,0,H,2006-2007
Middlesbrough,Arsenal,1,1,D,2006-2007
Tottenham,Man United,0,4,A,2006-2007
Reading,Aston Villa,2,0,H,2006-2007
Chelsea,Middlesbrough,3,0,H,2006-2007
Everton,Blackburn,1,0,H,2006-2007
Man United,Charlton,2,0,H,2006-2007
Newcastle,Liverpool,2,1,H,2006-2007
Sheffield United,Tottenham,2,1,H,2006-2007
West Ham,Watford,0,1,A,2006-2007
Portsmouth,Man City,2,1,H,2006-2007
Bolton,Fulham,2,1,H,2006-2007
Arsenal,Wigan,2,1,H,2006-2007
Watford,Wigan,1,1,D,2006-2007
Everton,Tottenham,1,2,A,2006-2007
Fulham,Man United,1,2,A,2006-2007
Charlton,West Ham,4,0,H,2006-2007
Liverpool,Sheffield United,4,0,H,2006-2007
Middlesbrough,Reading,2,1,H,2006-2007
Watford,Everton,0,3,A,2006-2007
Wigan,Newcastle,1,0,H,2006-2007
Blackburn,Portsmouth,3,0,H,2006-2007
Tottenham,Bolton,4,1,H,2006-2007
Liverpool,Man United,0,1,A,2006-2007
Arsenal,Reading,2,1,H,2006-2007
Fulham,Aston Villa,1,1,D,2006-2007
Man City,Wigan,0,1,A,2006-2007
Newcastle,Middlesbrough,0,0,D,2006-2007
Sheffield United,Everton,1,1,D,2006-2007
Watford,Charlton,2,2,D,2006-2007
Portsmouth,Chelsea,0,2,A,2006-2007
Bolton,Blackburn,1,2,A,2006-2007
West Ham,Tottenham,3,4,A,2006-2007
Aston Villa,Arsenal,0,1,A,2006-2007
Man City,Chelsea,0,1,A,2006-2007
Man United,Bolton,4,1,H,2006-2007
Chelsea,Sheffield United,3,0,H,2006-2007
Middlesbrough,Man City,0,2,A,2006-2007
Reading,Portsmouth,0,0,D,2006-2007
Tottenham,Watford,3,1,H,2006-2007
Wigan,Fulham,0,0,D,2006-2007
Blackburn,West Ham,1,2,A,2006-2007
Charlton,Newcastle,2,0,H,2006-2007
Aston Villa,Liverpool,0,0,D,2006-2007
Everton,Arsenal,1,0,H,2006-2007
Liverpool,Arsenal,4,1,H,2006-2007
Bolton,Sheffield United,1,0,H,2006-2007
Charlton,Wigan,1,0,H,2006-2007
Fulham,Portsmouth,1,1,D,2006-2007
Man United,Blackburn,4,1,H,2006-2007
Newcastle,Man City,0,1,A,2006-2007
West Ham,Middlesbrough,2,0,H,2006-2007
Watford,Chelsea,0,1,A,2006-2007
Tottenham,Reading,1,0,H,2006-2007
Aston Villa,Everton,1,1,D,2006-2007
Man City,Charlton,0,0,D,2006-2007
Everton,Fulham,4,1,H,2006-2007
Chelsea,Tottenham,1,0,H,2006-2007
Arsenal,West Ham,0,1,A,2006-2007
Blackburn,Aston Villa,1,2,A,2006-2007
Middlesbrough,Watford,4,1,H,2006-2007
Reading,Liverpool,1,2,A,2006-2007
Sheffield United,Newcastle,1,2,A,2006-2007
Wigan,Bolton,1,3,A,2006-2007
Portsmouth,Man United,2,1,H,2006-2007
Watford,Portsmouth,4,2,H,2006-2007
Aston Villa,Wigan,1,1,D,2006-2007
Bolton,Everton,1,1,D,2006-2007
Fulham,Man City,1,3,A,2006-2007
Newcastle,Arsenal,0,0,D,2006-2007
Charlton,Reading,0,0,D,2006-2007
Arsenal,Bolton,2,1,H,2006-2007
Man City,Liverpool,0,0,D,2006-2007
Middlesbrough,Aston Villa,1,3,A,2006-2007
Portsmouth,Newcastle,2,1,H,2006-2007
Reading,Fulham,1,0,H,2006-2007
Sheffield United,West Ham,3,0,H,2006-2007
Wigan,Tottenham,3,3,D,2006-2007
Everton,Charlton,2,1,H,2006-2007
Arsenal,Man City,3,1,H,2006-2007
Man United,Sheffield United,2,0,H,2006-2007
Blackburn,Watford,3,1,H,2006-2007
Liverpool,Middlesbrough,2,0,H,2006-2007
West Ham,Chelsea,1,4,A,2006-2007
Tottenham,Arsenal,2,2,D,2006-2007
Bolton,Reading,1,3,A,2006-2007
Charlton,Sheffield United,1,1,D,2006-2007
Fulham,Blackburn,1,1,D,2006-2007
Liverpool,Wigan,2,0,H,2006-2007
Watford,Man City,1,1,D,2006-2007
West Ham,Everton,1,0,H,2006-2007
Man United,Middlesbrough,1,1,D,2006-2007
Newcastle,Chelsea,0,0,D,2006-2007
Aston Villa,Portsmouth,0,0,D,2006-2007
Chelsea,Bolton,2,2,D,2006-2007
Everton,Man United,2,4,A,2006-2007
Blackburn,Charlton,4,1,H,2006-2007
Man City,Aston Villa,0,2,A,2006-2007
Middlesbrough,Tottenham,2,3,A,2006-2007
Portsmouth,Liverpool,2,1,H,2006-2007
Sheffield United,Watford,1,0,H,2006-2007
Wigan,West Ham,0,3,A,2006-2007
Arsenal,Fulham,3,1,H,2006-2007
Reading,Newcastle,1,0,H,2006-2007
Man City,Man United,0,1,A,2006-2007
Everton,Portsmouth,3,0,H,2006-2007
Fulham,Liverpool,1,0,H,2006-2007
Newcastle,Blackburn,0,2,A,2006-2007
Reading,Watford,0,2,A,2006-2007
West Ham,Bolton,3,1,H,2006-2007
Wigan,Middlesbrough,0,1,A,2006-2007
Aston Villa,Sheffield United,3,0,H,2006-2007
Arsenal,Chelsea,1,1,D,2006-2007
Charlton,Tottenham,0,2,A,2006-2007
Chelsea,Man United,0,0,D,2006-2007
Tottenham,Blackburn,1,1,D,2006-2007
Blackburn,Reading,3,3,D,2006-2007
Bolton,Aston Villa,2,2,D,2006-2007
Chelsea,Everton,1,1,D,2006-2007
Liverpool,Charlton,2,2,D,2006-2007
Man United,West Ham,0,1,A,2006-2007
Middlesbrough,Fulham,3,1,H,2006-2007
Portsmouth,Arsenal,0,0,D,2006-2007
Sheffield United,Wigan,1,2,A,2006-2007
Tottenham,Man City,2,1,H,2006-2007
Watford,Newcastle,1,1,D,2006-2007
Sunderland,Tottenham,1,0,H,2007-2008
Bolton,Newcastle,1,3,A,2007-2008
Derby,Portsmouth,2,2,D,2007-2008
Everton,Wigan,2,1,H,2007-2008
Middlesbrough,Blackburn,1,2,A,2007-2008
West Ham,Man City,0,2,A,2007-2008
Aston Villa,Liverpool,1,2,A,2007-2008
Arsenal,Fulham,2,1,H,2007-2008
Chelsea,Birmingham,3,2,H,2007-2008
Man United,Reading,0,0,D,2007-2008
Tottenham,Everton,1,3,A,2007-2008
Birmingham,Sunderland,2,2,D,2007-2008
Fulham,Bolton,2,1,H,2007-2008
Man City,Derby,1,0,H,2007-2008
Portsmouth,Man United,1,1,D,2007-2008
Reading,Chelsea,1,2,A,2007-2008
Wigan,Middlesbrough,1,0,H,2007-2008
Portsmouth,Bolton,3,1,H,2007-2008
Birmingham,West Ham,0,1,A,2007-2008
Fulham,Middlesbrough,1,2,A,2007-2008
Reading,Everton,1,0,H,2007-2008
Tottenham,Derby,4,0,H,2007-2008
Wigan,Sunderland,3,0,H,2007-2008
Newcastle,Aston Villa,0,0,D,2007-2008
Man City,Man United,1,0,H,2007-2008
Blackburn,Arsenal,1,1,D,2007-2008
Liverpool,Chelsea,1,1,D,2007-2008
Sunderland,Liverpool,0,2,A,2007-2008
Arsenal,Man City,1,0,H,2007-2008
Aston Villa,Fulham,2,1,H,2007-2008
Bolton,Reading,3,0,H,2007-2008
Chelsea,Portsmouth,1,0,H,2007-2008
Derby,Birmingham,1,2,A,2007-2008
West Ham,Wigan,1,1,D,2007-2008
Everton,Blackburn,1,1,D,2007-2008
Middlesbrough,Newcastle,2,2,D,2007-2008
Man United,Tottenham,1,0,H,2007-2008
Bolton,Everton,1,2,A,2007-2008
Fulham,Tottenham,3,3,D,2007-2008
Liverpool,Derby,6,0,H,2007-2008
Middlesbrough,Birmingham,2,0,H,2007-2008
Newcastle,Wigan,1,0,H,2007-2008
Reading,West Ham,0,3,A,2007-2008
Man United,Sunderland,1,0,H,2007-2008
Arsenal,Portsmouth,3,1,H,2007-2008
Blackburn,Man City,1,0,H,2007-2008
Aston Villa,Chelsea,2,0,H,2007-2008
Everton,Man United,0,1,A,2007-2008
Portsmouth,Liverpool,0,0,D,2007-2008
Tottenham,Arsenal,1,3,A,2007-2008
Birmingham,Bolton,1,0,H,2007-2008
Sunderland,Reading,2,1,H,2007-2008
West Ham,Middlesbrough,3,0,H,2007-2008
Wigan,Fulham,1,1,D,2007-2008
Chelsea,Blackburn,0,0,D,2007-2008
Man City,Aston Villa,1,0,H,2007-2008
Derby,Newcastle,1,0,H,2007-2008
Arsenal,Derby,5,0,H,2007-2008
Liverpool,Birmingham,0,0,D,2007-2008
Middlesbrough,Sunderland,2,2,D,2007-2008
Reading,Wigan,2,1,H,2007-2008
Fulham,Man City,3,3,D,2007-2008
Newcastle,West Ham,3,1,H,2007-2008
Aston Villa,Everton,2,0,H,2007-2008
Blackburn,Portsmouth,0,1,A,2007-2008
Bolton,Tottenham,1,1,D,2007-2008
Man United,Chelsea,2,0,H,2007-2008
Man City,Newcastle,3,1,H,2007-2008
Chelsea,Fulham,0,0,D,2007-2008
Derby,Bolton,1,1,D,2007-2008
Portsmouth,Reading,7,4,H,2007-2008
Sunderland,Blackburn,1,2,A,2007-2008
West Ham,Arsenal,0,1,A,2007-2008
Wigan,Liverpool,0,1,A,2007-2008
Birmingham,Man United,0,1,A,2007-2008
Everton,Middlesbrough,2,0,H,2007-2008
Tottenham,Aston Villa,4,4,D,2007-2008
Man United,Wigan,4,0,H,2007-2008
Aston Villa,West Ham,1,0,H,2007-2008
Arsenal,Sunderland,3,2,H,2007-2008
Reading,Derby,1,0,H,2007-2008
Blackburn,Birmingham,2,1,H,2007-2008
Bolton,Chelsea,0,1,A,2007-2008
Liverpool,Tottenham,2,2,D,2007-2008
Man City,Middlesbrough,3,1,H,2007-2008
Newcastle,Everton,3,2,H,2007-2008
Fulham,Portsmouth,0,2,A,2007-2008
Everton,Liverpool,1,2,A,2007-2008
Arsenal,Bolton,2,0,H,2007-2008
Blackburn,Reading,4,2,H,2007-2008
Fulham,Derby,0,0,D,2007-2008
Man City,Birmingham,1,0,H,2007-2008
Middlesbrough,Chelsea,0,2,A,2007-2008
Wigan,Portsmouth,0,2,A,2007-2008
Aston Villa,Man United,1,4,A,2007-2008
West Ham,Sunderland,3,1,H,2007-2008
Newcastle,Tottenham,3,1,H,2007-2008
Birmingham,Wigan,3,2,H,2007-2008
Chelsea,Man City,6,0,H,2007-2008
Man United,Middlesbrough,4,1,H,2007-2008
Reading,Newcastle,2,1,H,2007-2008
Sunderland,Fulham,1,1,D,2007-2008
Portsmouth,West Ham,0,0,D,2007-2008
Bolton,Aston Villa,1,1,D,2007-2008
Derby,Everton,0,2,A,2007-2008
Tottenham,Blackburn,1,2,A,2007-2008
Liverpool,Arsenal,1,1,D,2007-2008
Arsenal,Man United,2,2,D,2007-2008
Aston Villa,Derby,2,0,H,2007-2008
Everton,Birmingham,3,1,H,2007-2008
Fulham,Reading,3,1,H,2007-2008
Middlesbrough,Tottenham,1,1,D,2007-2008
Newcastle,Portsmouth,1,4,A,2007-2008
Wigan,Chelsea,0,2,A,2007-2008
Blackburn,Liverpool,0,0,D,2007-2008
West Ham,Bolton,1,1,D,2007-2008
Man City,Sunderland,1,0,H,2007-2008
Sunderland,Newcastle,1,1,D,2007-2008
Derby,West Ham,0,5,A,2007-2008
Liverpool,Fulham,2,0,H,2007-2008
Birmingham,Aston Villa,1,2,A,2007-2008
Chelsea,Everton,1,1,D,2007-2008
Bolton,Middlesbrough,0,0,D,2007-2008
Man United,Blackburn,2,0,H,2007-2008
Tottenham,Wigan,4,0,H,2007-2008
Portsmouth,Man City,0,0,D,2007-2008
Reading,Arsenal,1,3,A,2007-2008
Newcastle,Liverpool,0,3,A,2007-2008
Arsenal,Wigan,2,0,H,2007-2008
Birmingham,Portsmouth,0,2,A,2007-2008
Bolton,Man United,1,0,H,2007-2008
Everton,Sunderland,7,1,H,2007-2008
Man City,Reading,2,1,H,2007-2008
Middlesbrough,Aston Villa,0,3,A,2007-2008
Derby,Chelsea,0,2,A,2007-2008
West Ham,Tottenham,1,1,D,2007-2008
Fulham,Blackburn,2,2,D,2007-2008
Blackburn,Aston Villa,0,4,A,2007-2008
Chelsea,West Ham,1,0,H,2007-2008
Blackburn,Newcastle,3,1,H,2007-2008
Portsmouth,Everton,0,0,D,2007-2008
Reading,Middlesbrough,1,1,D,2007-2008
Sunderland,Derby,1,0,H,2007-2008
Wigan,Man City,1,1,D,2007-2008
Aston Villa,Arsenal,1,2,A,2007-2008
Liverpool,Bolton,4,0,H,2007-2008
Tottenham,Birmingham,2,3,A,2007-2008
Man United,Fulham,2,0,H,2007-2008
Newcastle,Arsenal,1,1,D,2007-2008
Aston Villa,Portsmouth,1,3,A,2007-2008
Chelsea,Sunderland,2,0,H,2007-2008
Everton,Fulham,3,0,H,2007-2008
Man United,Derby,4,1,H,2007-2008
Newcastle,Birmingham,2,1,H,2007-2008
Reading,Liverpool,3,1,H,2007-2008
Middlesbrough,Arsenal,2,1,H,2007-2008
Bolton,Wigan,4,1,H,2007-2008
Tottenham,Man City,2,1,H,2007-2008
Blackburn,West Ham,0,1,A,2007-2008
Birmingham,Reading,1,1,D,2007-2008
Derby,Middlesbrough,0,1,A,2007-2008
Man City,Bolton,4,2,H,2007-2008
Portsmouth,Tottenham,0,1,A,2007-2008
Sunderland,Aston Villa,1,1,D,2007-2008
West Ham,Everton,0,2,A,2007-2008
Wigan,Blackburn,5,3,H,2007-2008
Fulham,Newcastle,0,1,A,2007-2008
Liverpool,Man United,0,1,A,2007-2008
Arsenal,Chelsea,1,0,H,2007-2008
Arsenal,Tottenham,2,1,H,2007-2008
Aston Villa,Man City,1,1,D,2007-2008
Bolton,Birmingham,3,0,H,2007-2008
Fulham,Wigan,1,1,D,2007-2008
Liverpool,Portsmouth,4,1,H,2007-2008
Middlesbrough,West Ham,1,2,A,2007-2008
Reading,Sunderland,2,1,H,2007-2008
Man United,Everton,2,1,H,2007-2008
Newcastle,Derby,2,2,D,2007-2008
Blackburn,Chelsea,0,1,A,2007-2008
Chelsea,Aston Villa,4,4,D,2007-2008
Tottenham,Fulham,5,1,H,2007-2008
West Ham,Reading,1,1,D,2007-2008
Birmingham,Middlesbrough,3,0,H,2007-2008
Derby,Liverpool,1,2,A,2007-2008
Everton,Bolton,2,0,H,2007-2008
Sunderland,Man United,0,4,A,2007-2008
Wigan,Newcastle,1,0,H,2007-2008
Portsmouth,Arsenal,0,0,D,2007-2008
Man City,Blackburn,2,2,D,2007-2008
Birmingham,Fulham,1,1,D,2007-2008
Chelsea,Newcastle,2,1,H,2007-2008
Portsmouth,Middlesbrough,0,1,A,2007-2008
Sunderland,Bolton,3,1,H,2007-2008
Tottenham,Reading,6,4,H,2007-2008
West Ham,Man United,2,1,H,2007-2008
Wigan,Aston Villa,1,2,A,2007-2008
Everton,Arsenal,1,4,A,2007-2008
Derby,Blackburn,1,2,A,2007-2008
Man City,Liverpool,0,0,D,2007-2008
Fulham,Chelsea,1,2,A,2007-2008
Arsenal,West Ham,2,0,H,2007-2008
Man United,Birmingham,1,0,H,2007-2008
Middlesbrough,Everton,0,2,A,2007-2008
Reading,Portsmouth,0,2,A,2007-2008
Aston Villa,Tottenham,2,1,H,2007-2008
Newcastle,Man City,0,2,A,2007-2008
Blackburn,Sunderland,1,0,H,2007-2008
Bolton,Derby,1,0,H,2007-2008
Liverpool,Wigan,1,1,D,2007-2008
Arsenal,Birmingham,1,1,D,2007-2008
Aston Villa,Reading,3,1,H,2007-2008
Chelsea,Tottenham,2,0,H,2007-2008
Derby,Wigan,0,1,A,2007-2008
Everton,Man City,1,0,H,2007-2008
Middlesbrough,Liverpool,1,1,D,2007-2008
West Ham,Fulham,2,1,H,2007-2008
Man United,Newcastle,6,0,H,2007-2008
Sunderland,Portsmouth,2,0,H,2007-2008
Bolton,Blackburn,1,2,A,2007-2008
Birmingham,Chelsea,0,1,A,2007-2008
Blackburn,Middlesbrough,1,1,D,2007-2008
Fulham,Arsenal,0,3,A,2007-2008
Portsmouth,Derby,3,1,H,2007-2008
Reading,Man United,0,2,A,2007-2008
Tottenham,Sunderland,2,0,H,2007-2008
Newcastle,Bolton,0,0,D,2007-2008
Wigan,Everton,1,2,A,2007-2008
